編號,韓文,羅馬拼音,中文,英文
2962,괴롭다,goeropda,痛苦、難受,Be painful or distressing
2963,교통사고,gyotongsago,交通事故、車禍,Traffic accident
2964,군데,gunde,處、處所、個（場所單位）,A place or spot
2965,메시지,mesiji,訊息、短信,Message
2966,면하다,myeonhada,免除、避開、免於,"escape,avoid"
2967,모색하다,mosaekhada,摸索、尋求,"Seek, explore"
2968,붙잡다,butjapda,抓緊、抓住,"seize,catch"
2969,빛깔,bitkkal,色彩、色澤,"A color,shade,hue"
2970,뺨,ppyam,臉頰、面頰,Cheek
2971,사방,sabang,四方、周圍,The four directions
2972,살림,salrim,家計、生計、過日子,"living,livelihood"
2973,실현,silhyeon,實現,"realization,materialization"
2974,아냐,anya,不是、沒有（平語）,"No, that’s not the case"
2975,연예인,yeonyein,演藝人員、藝人,"A performer, an entertainer"
2976,영원히,yeongwonhi,永遠、長久,Forever
2977,월급,wolgeup,月薪、月工資,Monthly salary
2978,유행,yuhaeng,流行、風尚,"Fashion, vogue"
2979,이내,inae,很快、立刻 / 以內,"soon,right away"
2980,이리,iri,這邊、這樣 / 狼,"This way, this direction"
2981,제발,jebal,拜託、千萬、懇請,"kindly,please"
2982,차츰,chacheum,漸漸、逐步,"gradually,step by step"
2983,투표,tupyo,投票,"vote,voting"
2984,파괴하다,pagoehada,破壞、摧毀,"Destruction, demolition"
2985,하느님,haneunim,天主、上帝、老天爺,God
2986,해당되다,haedangdoeda,屬於、符合、相應（被動）,To be applied/applicable under
2987,홀로,holro,獨自、一人,"Alone, by oneself"
2988,가까이,gakkai,靠近、接近（副詞）,Close
2989,가득하다,gadeukhada,充滿、滿溢,To fill
2990,각자,gakja,各自、各自每個人,Each one or every one
2991,감히,gamhi,敢於、竟敢、貿然,Daringly or boldly
2992,강요하다,gangyohada,強迫、強求、施壓,"Insist on, demand, force"
2993,개미,gaemi,螞蟻,Ant
2994,관습,gwanseup,習俗、慣例,Custom or usage
2995,광경,gwanggyeong,光景、情景、景象,A spectacle or a sight in 3-d and uncut (compare 관광 tourism)
2996,금세,geumse,頓時、轉眼間、立刻,In a moment or at once
2997,낮추다,natchuda,降低、調低,"Lower, make low"
2998,내주다,naejuda,讓出、拿出給予,Take out and give away
2999,명의,myeongui,人數（...名）、名義,"name,title"
3000,물고기,mulgogi,魚、魚類,Fish
