編號,韓文,羅馬拼音,中文,英文,Level (TOPIK等級),Part of Speech (詞性)
2863,한가운데,hangaunde,正中間、正中央,"The very middle, the center",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2864,한정되다,hanjeongdoeda,受限、被限定（被動）,"To be limiited, qualified",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2865,해내다,haenaeda,戰勝、克服、完成,"To accomplish, achieve, carry through",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2866,흉내,hyungnae,模仿、效仿,"Imitation, mimicry",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2867,감옥,gamok,監獄,Prison,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2868,갚다,gapda,償還、報答、報復,Pay back a loan,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2869,건전하다,geonjeonhada,健全、健康,Health or soundness or vitality,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2870,결혼식,gyeolhonsik,結婚典禮、婚禮,Wedding,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2871,계산기,gyesangi,計算機,Calculator,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2872,광장,gwangjang,廣場,An open space or a plaza or public square,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2873,그렇지,geureochi,是啊、沒錯,So it is or that is right,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。0
2874,깨다,kkaeda,打碎、摔破、打破,Break or crack,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2875,꽉,kkwak,緊緊地、塞滿,Tightly or fast,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2876,끼우다,kkiuda,插入、夾入、套入,To put between or insert,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2877,노래하다,noraehada,唱歌、歌唱,To sing,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2878,다듬다,dadeumda,修整、修剪、梳理,"Trim, shave",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2879,다름없다,dareumeopda,毫無二致、差不多,"Be similar, not different",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2880,당당하다,dangdanghada,堂堂正正、威風凜凜,Dignified,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2881,댐,daem,水壩、水庫,Dam,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2882,덩어리,deongeori,塊、團、疙瘩,"A lump, a cluster",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2883,모처럼,mocheoreom,難得、好不容易,At long last,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2884,물리학,mulrihak,物理學,Physics,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2885,벌,beol,懲罰、罰 / 套（衣服量詞）,Punishment,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2886,부정적,bujeongjeok,否定的、消極的,"negative, contradicting sth else, not positive",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2887,북부,bukbu,北部、北方,The north part,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2888,분리,bunri,分離、分開,"separation,segration",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2889,상당,sangdang,相當、合適,"proper,fit,suitable",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2890,세다,seda,強、強烈、厲害,"To be strong, mighty",B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2891,소개,sogae,介紹,Introduction,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2892,수화기,suhwagi,話筒、聽筒,Telephone receiver,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2893,애인,aein,愛人、情人、戀人,A lover,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2894,애초,aecho,當初、一開始,"The first, the beginning",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2895,얇다,yalda,薄,To be thin,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2896,양념,yangnyeom,調味料、佐料,Spices and condiments,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2897,에,e,在、於、到（助詞）,at/in/on,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。0
2898,오염되다,oyeomdoeda,被污染（被動）,"To be polluted, contaminated",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2899,오해,ohae,誤會、誤解,Misunderstanding,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2900,웬일,wenil,什麼事、怎麼回事,"What cause, what reason",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2901,의식,uisik,儀式 / 意識,A ceremony,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2902,의지하다,uijihada,依靠、依賴,"To look to, depend on, rely on",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2903,일기,ilgi,日記,"A diary, journal",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2904,절대,jeoldae,絕對,Absoluteness,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2905,제한하다,jehanhada,限制、局限,"To restrict,limit",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2906,존중하다,jonjunghada,尊重,"appreciate,esteem,value",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2907,창고,changgo,倉庫,"A warehouse,storehouse",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2908,채,chae,尚未、不到（副詞） / 棟,"Still, not yet",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2909,책임지다,chaegimjida,承擔責任、負責,Take responsibility,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2910,청춘,cheongchun,青春,"youth,the springtime of life",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2911,초반,choban,前期、前半期、開局,The opening part (of a game of baduk),C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2912,트럭,teureok,卡車、貨車,Truck,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2913,파,pa,蔥、大蔥,Onions,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2914,폭넓다,pongneolda,廣泛、寬廣,To be broad,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2915,표현되다,pyohyeondoeda,被表達、呈現（被動）,To have been expressed,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2916,학번,hakbeon,入學年份、學號,Year of graduation,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2917,학원,hagwon,補習班、學院,Learning institute,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2918,허가,heoga,許可、批准,"Permission, grant, leave",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2919,헤매다,hemaeda,徘徊、迷惘,"Wander about, roam about",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2920,가장,gajang,家長、一家之主,Head of a household,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2921,곡,gok,曲子、歌曲,A tune or an air,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2922,곡식,goksik,糧食、穀物,Cereals or grain,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2923,꽂다,kkotda,插、插上,Be stuck in or insert,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2924,망설이다,mangseorida,猶豫、躊躇,Hesitate,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2925,무리,muri,群、群體、幫,"A company, a band",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2926,버터,beoteo,奶油、牛油,Butter,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2927,별다르다,byeoldareuda,特別、與眾不同,Be of a peculiar kind,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2928,보편적,bopyeonjeok,普遍的,Universal,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2929,부품,bupum,零件、配件,"Parts, accessories",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2930,뻔하다,ppeonhada,差一點、險些 / 明擺著,"almost,nearly",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2931,뽑히다,ppophida,被拔出、被選中（被動）,"Be taken out, pulled out",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2932,상담,sangdam,諮詢、商談,Consultation,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2933,서부,seobu,西部、西方,The western part,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2934,속담,sokdam,俗語、諺語,"A proverb,saying",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2935,시중,sijung,市面、民間,In the city,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2936,심사,simsa,審查、評審,"judgment,examination",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2937,아이,ai,哎呀（感嘆詞） / 孩子,Oh my god!,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。0
2938,앞세우다,apseuda,讓...走在前面、推舉、由...領頭,Make a person go,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2939,유사하다,yusahada,相似、雷同,"To be similar, to resemble",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2940,유치원,yuchiwon,幼兒園,Kindergarten,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2941,의욕,uiyok,幹勁、意志、意欲,"volition,will,desire",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2942,인근,ingeun,附近、鄰近地區,The neighborhood,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2943,일반인,ilbanin,一般人、大眾,Of the general public,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2944,작성하다,jakseonghada,填寫、編寫、製作,"To edit or compose, write up ; to fill out a form",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2945,전공,jeongong,專業、主修,Specialty,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2946,정기,jeonggi,定期,A fixed time period,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2947,제의,jeui,提議、提請,"A proposal,an offer",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2948,종일,jongil,整天、終日,"All day, throughout the whole day",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2949,좋아지다,joajida,好轉、變好,To become better,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2950,차림,charim,打扮、裝束,Appearance of clothes or worn objecs,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2951,창조하다,changjohada,創造,Create,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2952,추위,chuwi,寒冷、嚴寒,Cold,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2953,토마토,tomato,番茄、西紅柿,Tomato,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2954,파랗다,parata,湛藍、碧綠、青,To be blue,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2955,펴내다,pyeonaeda,出版、發行,"Publish, bring out in print",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2956,하드웨어,hadeuweeo,硬體,Hardwaer,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2957,화장,hwajang,化妝 / 火葬,Makeup,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2958,가져가다,gajyeogada,帶走、拿去,To take or carry,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2959,감자,gamja,馬鈴薯、土豆,Potato,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2960,강렬하다,gangryeolhada,強烈、劇烈,Intense or strong or severe,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2961,갖다,gatda,擁有、具有、拿著,Possess,B,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
2962,괴롭다,goeropda,痛苦、難受,Be painful or distressing,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2963,교통사고,gyotongsago,交通事故、車禍,Traffic accident,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2964,군데,gunde,處、處所、個（場所單位）,A place or spot,B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
2965,메시지,mesiji,訊息、短信,Message,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2966,면하다,myeonhada,免除、避開、免於,"escape,avoid",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2967,모색하다,mosaekhada,摸索、尋求,"Seek, explore",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2968,붙잡다,butjapda,抓緊、抓住,"seize,catch",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2969,빛깔,bitkkal,色彩、色澤,"A color,shade,hue",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2970,뺨,ppyam,臉頰、面頰,Cheek,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2971,사방,sabang,四方、周圍,The four directions,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2972,살림,salrim,家計、生計、過日子,"living,livelihood",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2973,실현,silhyeon,實現,"realization,materialization",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2974,아냐,anya,不是、沒有（平語）,"No, that’s not the case",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。0
2975,연예인,yeonyein,演藝人員、藝人,"A performer, an entertainer",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2976,영원히,yeongwonhi,永遠、長久,Forever,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2977,월급,wolgeup,月薪、月工資,Monthly salary,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2978,유행,yuhaeng,流行、風尚,"Fashion, vogue",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2979,이내,inae,很快、立刻 / 以內,"soon,right away",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2980,이리,iri,這邊、這樣 / 狼,"This way, this direction",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2981,제발,jebal,拜託、千萬、懇請,"kindly,please",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2982,차츰,chacheum,漸漸、逐步,"gradually,step by step",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2983,투표,tupyo,投票,"vote,voting",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2984,파괴하다,pagoehada,破壞、摧毀,"Destruction, demolition",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2985,하느님,haneunim,天主、上帝、老天爺,God,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2986,해당되다,haedangdoeda,屬於、符合、相應（被動）,To be applied/applicable under,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2987,홀로,holro,獨自、一人,"Alone, by oneself",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2988,가까이,gakkai,靠近、接近（副詞）,Close,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2989,가득하다,gadeukhada,充滿、滿溢,To fill,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
2990,각자,gakja,各自、各自每個人,Each one or every one,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2991,감히,gamhi,敢於、竟敢、貿然,Daringly or boldly,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2992,강요하다,gangyohada,強迫、強求、施壓,"Insist on, demand, force",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2993,개미,gaemi,螞蟻,Ant,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2994,관습,gwanseup,習俗、慣例,Custom or usage,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2995,광경,gwanggyeong,光景、情景、景象,A spectacle or a sight in 3-d and uncut (compare 관광 tourism),C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
2996,금세,geumse,頓時、轉眼間、立刻,In a moment or at once,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
2997,낮추다,natchuda,降低、調低,"Lower, make low",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2998,내주다,naejuda,讓出、拿出給予,Take out and give away,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
2999,명의,myeongui,人數（...名）、名義,"name,title",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3000,물고기,mulgogi,魚、魚類,Fish,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3001,물러나다,mulreonada,退下、後退、退位,"Fall back, to pull back, to pull back your position",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3002,밀접하다,miljeophada,密切、緊密,"Be close,intimate with",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3003,부탁,butak,託付、拜託、請求,"request,favor",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3004,분량,bunryang,份量、分量,"quantity,measure",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3005,불과,bulgwa,只不過、僅僅,"Only, not more than",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
3006,뻔하다,ppeonhada,明擺著、顯而易見,"Be clear,evident",C,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
3007,상자,sangja,箱子、盒子,"A box,case",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3008,새해,saehae,新年、新春,A new year,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3009,소박하다,sobakhada,樸素、淳樸,"simple, naive, ingenuous",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3010,수없이,sueopsi,無數地、數不清地,"Countless, innumerably",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
3011,승진,seungjin,晉升、升職,"promotion,advancement",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3012,양,yang,兩者、雙方,"Both, two",C,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
3013,얼음,eoreum,冰、冰塊,Ice,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3014,열매,yeolmae,果實、成果,Fruit,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3015,적히다,jeokhida,被記錄、被寫下（被動）,"To be recorded,written down",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3016,점수,jeomsu,分數、得分,"marks,the number of marks",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3017,제한되다,jehandoeda,受限、被限制（被動）,"To be restricted,limited",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3018,지속되다,jisokdoeda,持續、延續（被動）,"Be lasting a long time, be continous",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3019,쫓기다,jjotgida,被追逐、被催逼（被動）,"To be chased, be driven",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3020,쭉,jjuk,一直、連貫地,All the time,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
3021,통장,tongjang,存摺,A bankbook (check register),B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3022,평가되다,pyeonggadoeda,被評價、被評估（被動）,To be appraised,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3023,하도,hado,過於、實在太,"Too much, excessively",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
3024,한창,hanchang,正盛、正值高潮,"The height, summit , the top",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
3025,해안,haean,海岸、海濱,"The seashore, the coast",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3026,호박,hobak,南瓜 / 琥珀,Pumpkin,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3027,흑인,heugin,黑人,A black person,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3028,간,gan,肝、肝臟,Liver,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3029,갇히다,gathida,被關押、被囚禁（被動）,Be confined or shut up,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3030,결심하다,gyeolsimhada,下定決心、決意,To resolve or be determined,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3031,경기장,gyeonggijang,體育場、競技場,Sports stadium or a sports field,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3032,고장,gojang,故障、損壞 / 故鄉,Broken,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3033,근로,geunro,勞動、勤勞,Labor or exertion,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3034,눈동자,nundongja,瞳孔、眼珠,The pupil,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3035,늦다,neutda,晚、遲到、延遲,"Be late, overdue",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3036,닥치다,dakchida,逼近、臨頭 / 閉嘴,Shut the mouth!,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3037,도시락,dosirak,便當、飯盒,Lunchbox lunch,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3038,몸짓,momjit,肢體動作、手勢,A gesture,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3039,부담하다,budamhada,負擔、承擔,"bear,shoulder a responsibility",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3040,부회장,buhoejang,副會長、副總裁,A vice president,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3041,빼앗다,ppaeatda,搶奪、奪取,"Snach, take away from",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3042,삼키다,samkida,吞嚥、吞下,Swallow,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3043,성실하다,seongsilhada,誠實、真誠、踏實,"Be sincere, faithful, earnest",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3044,스튜디오,seutyudio,工作室、攝影棚,Studio,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3045,실제,silje,實際、真相,"The truth, a fact",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
3046,요새,yosae,最近、近來 / 要塞,"recently,lately",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3047,이상적,isangjeok,理想的 / 異常的,Ideal / Abnormal,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3048,일쑤,ilssu,常有的事、習慣,Habitual practice,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3049,일체,ilche,一切、全部,"All, everything,the whole",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3050,자꾸만,jakkuman,屢屢、老是、頻頻,Repeatedly (emphasized),B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
3051,잦다,jatda,頻繁、頻密 / 平息,"Be frequent, incessant",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3052,절망,jeolmang,絕望,"despair,hopelessness",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3053,접다,jeopda,折疊、折、放棄,Fold up,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3054,제시되다,jesidoeda,被提出、被呈現（被動）,To be presented,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3055,주방,jubang,廚房,"A kitchen, a cookroom",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3056,진출하다,jinchulhada,進軍、進出、挺進,"Penetrate into, advance",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3057,짜증,jjajeung,煩躁、厭煩、發脾氣,Annoyance,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3058,첫날,cheonnal,第一天、首日,The first day,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3059,통과하다,tonggwahada,通過,Passage through,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3060,투명하다,tumyeonghada,透明,"To be transparent, clear",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3061,확산되다,hwaksandoeda,擴散、蔓延（被動）,To get diffused,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3062,경력,gyeongryeok,經歷、資歷、履歷,one’s personal history,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3063,고통스럽다,gotongseureopda,痛苦、難受,Be painful or torment,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3064,곤란하다,gonranhada,困難、為難、棘手,Difficulty or trouble,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3065,공중,gongjung,空中、大眾,The air or the sky,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3066,공해,gonghae,公害、污染,Environmental pollution,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3067,귀찮다,gwichanta,厭煩、麻煩,Annoying irksome,C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3068,기대다,gidaeda,依靠、倚靠,1) To rely upon or lean upon 2) lean against,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3069,깨어나다,kkaeeonada,甦醒、清醒,Return to consciousness,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3070,꼽히다,kkophida,被屈指推崇、被評選（被動）,To be elected,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3071,대다수,daedasu,大多數、絕大多數,A large majority,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3072,듯싶다,deutsipda,似乎、好像,"To be like something, i guess",C,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
3073,먹이,meogi,飼料、食物、獵物,Food,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3074,무,mu,白蘿蔔、蘿蔔,Radish,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3075,무료,muryo,免費,Free,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3076,밉다,mipda,可憎、討厭,Be detestable,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3077,발레,balre,芭蕾舞,Ballet,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3078,상징하다,sangjinghada,象徵,Symbolize,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3079,실현하다,silhyeonhada,實現,"To realize,bring to fruition",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3080,아깝다,akkapda,可惜、捨不得、惋惜,"regrettable,pitiful",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3081,안정되다,anjeongdoeda,穩定、平穩（被動）,To be stable,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3082,어리석다,eoriseokda,愚蠢、愚昧,"juvenile,foolish",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3083,엎드리다,eopdeurida,趴下、伏地,"Prostrate oneself, lie on the ground",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3084,여럿,yeoreot,多數、眾多（名詞/代詞）,"many,many people",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3085,연설,yeonseol,演說、演講,A public speech,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3086,연필,yeonpil,鉛筆,Pencil,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3087,염려,yeomryeo,擔憂、掛念,"anxiety,worry",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3088,우습다,useupda,滑稽、可笑,"To be funny, amusing",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3089,운전,unjeon,駕駛、開車,Driving,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3090,익숙하다,iksukhada,熟練、習慣,To become accustomed to,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
3091,일자,ilja,日期、日程,"A date, the number of days",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
3092,잔치,janchi,宴席、宴會,"banquet,feast",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
